EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
151359.600,156148.400,291229.300,297879.500,290124.000,61320.990,103945.700,63884.340,0.000
150635.900,155457.700,289655.900,296212.300,288554.600,60928.700,103577.500,63471.030,0.000
149106.600,153866.800,287921.000,294427.300,286821.500,60195.340,102080.000,62920.800,0.000
147057.000,151665.500,286103.500,292640.900,285005.300,59398.660,99663.710,62348.390,0.000
145430.000,149921.500,284395.800,290975.200,283300.400,58858.400,97751.750,61882.020,0.000
144530.800,149011.100,282839.500,289397.100,281748.200,58527.290,96999.890,61500.520,0.000
143718.500,148219.000,281277.800,287766.200,280189.900,58121.710,96505.600,61088.610,0.000
142316.600,146760.700,279576.100,286021.300,278490.200,57496.280,95126.050,60585.660,0.000
140491.000,144806.000,277801.000,284258.900,276716.600,56799.750,93001.220,60053.360,0.000
138940.600,143154.700,276118.700,282601.100,275036.900,56242.980,91245.650,59580.630,0.000
137929.300,142126.500,274566.200,281033.300,273488.200,55830.820,90386.580,59171.260,0.000
137212.800,141410.100,273016.700,279434.600,271942.300,55556.250,89867.270,58818.840,0.000
136491.100,140612.400,271358.700,277739.600,270286.800,55421.090,88959.540,58506.310,0.000
135468.900,139457.100,269631.900,276010.900,268561.900,55103.860,87569.140,58089.360,0.000
134112.800,138019.200,267962.800,274351.900,266895.300,54339.580,86248.200,57482.690,0.000
132797.000,136721.200,266396.900,272775.200,265332.800,53431.290,85477.680,56848.200,0.000
131827.200,135794.400,264846.500,271191.500,263785.600,52868.860,85042.270,56389.020,0.000
131062.200,135005.800,263217.700,269531.300,262159.400,52682.710,84364.550,56082.750,0.000
130142.600,134003.600,261535.600,267836.600,260479.500,52444.120,83277.260,55728.800,0.000
128971.600,132773.200,259900.300,266200.100,258846.700,51861.890,82175.280,55222.370,0.000
127797.400,131602.900,258347.200,264639.200,257296.600,51134.110,81421.700,54673.360,0.000
126841.800,130666.700,256804.500,263075.300,255757.000,50624.650,80876.780,54233.690,0.000
126016.400,129815.000,255198.200,261442.300,254153.500,50367.380,80148.490,53893.850,0.000
125080.600,128813.800,253550.400,259774.200,252508.100,50064.930,79139.200,53517.040,0.000
123973.300,127657.500,251941.400,258155.100,250901.500,49518.890,78131.660,53034.250,0.000
122554.800,126197.800,250395.500,256603.200,249358.400,48826.650,76839.020,52515.950,0.000
120495.200,124046.900,248848.600,255043.800,247814.400,48049.760,74538.780,51998.790,0.000
117932.300,121357.500,247243.300,253415.900,246212.100,47147.720,71515.010,51446.180,0.000
115518.800,118822.900,245615.700,251763.100,244587.300,46354.770,68652.190,50942.910,0.000
113820.400,117019.400,244040.700,250171.600,243014.700,45956.950,66542.910,50597.410,0.000
112835.000,115955.800,242525.400,248650.800,241502.000,45808.200,65315.210,50327.230,0.000
112027.800,115099.200,241005.600,247124.500,239985.000,45511.720,64532.610,49962.210,0.000
110920.100,113957.700,239435.500,245534.900,238417.800,44910.990,63616.170,49459.590,0.000
109564.400,112562.000,237844.700,243915.600,236829.700,44245.660,62393.880,48947.150,0.000
108330.300,111271.900,236290.200,242340.200,235277.600,43792.980,61130.460,48542.290,0.000
107351.900,110231.500,234779.300,240823.700,233769.200,43507.470,60074.550,48204.890,0.000
106421.000,109246.400,233268.400,239310.000,232261.000,43148.240,59162.640,47822.440,0.000
105298.800,108079.800,231725.700,237750.400,230721.500,42606.580,58157.000,47360.520,0.000
104023.700,106758.700,230170.700,236165.700,229169.700,42022.790,56973.200,46895.790,0.000
102735.600,105422.800,228639.600,234611.000,227641.100,41501.930,55736.040,46478.270,0.000
101539.400,104195.200,227139.400,233104.700,226143.200,41058.210,54658.110,46108.290,0.000
100716.500,103354.400,225652.100,231616.800,224658.500,40884.020,53951.730,45850.060,0.000
100327.100,102939.500,224156.600,230106.200,223165.800,40995.510,53557.570,45688.020,0.000
99884.290,102459.800,222645.100,228564.600,221657.000,40964.510,53098.440,45437.560,0.000
98941.050,101483.500,221128.400,227022.600,220142.800,40459.540,52309.340,44980.170,0.000
97658.090,100181.200,219621.700,225508.800,218638.500,39691.520,51337.290,44426.410,0.000
96559.550,99069.750,218128.300,224015.300,217147.800,39124.840,50520.180,43970.460,0.000
95850.130,98342.130,216639.700,222513.000,215662.100,38886.110,49955.270,43648.630,0.000
95211.590,97677.930,215148.100,220992.000,214173.300,38666.910,49410.520,43323.550,0.000
94281.820,96721.220,213655.000,219473.000,212682.600,38185.570,48653.010,42886.790,0.000
93122.850,95538.590,212167.800,217977.600,211197.800,37543.390,47742.390,42392.530,0.000
92085.700,94480.750,210690.800,216500.300,209723.500,37037.140,46928.140,41963.160,0.000
91326.160,93701.720,209221.300,215018.000,208256.800,36749.890,46319.790,41622.570,0.000
90634.170,92989.870,207752.800,213521.300,206791.100,36477.630,45763.870,41280.990,0.000
89748.530,92081.780,206282.400,212025.200,205323.200,36032.600,45059.500,40866.310,0.000
88690.070,90997.520,204813.800,210547.400,203856.900,35475.960,44211.550,40410.990,0.000
87692.930,89974.930,203353.100,209085.300,202398.700,34997.260,43404.680,39992.780,0.000
86882.120,89144.130,201901.700,207621.600,200950.200,34655.510,42758.240,39630.280,0.000
86138.180,88384.550,200454.600,206148.000,199505.900,34332.350,42185.320,39272.270,0.000
85283.920,87511.160,199006.000,204674.500,198059.800,33913.690,41519.000,38874.720,0.000
84308.410,86508.620,197556.600,203214.700,196612.800,33426.670,40724.980,38451.810,0.000
83349.750,85521.410,196113.000,201768.400,195171.700,32973.700,39931.890,38044.930,0.000
82503.710,84654.980,194679.900,200323.200,193741.300,32592.710,39259.080,37667.540,0.000
81720.280,83858.630,193253.300,198871.900,192317.600,32231.360,38670.770,37298.010,0.000
80890.660,83012.180,191825.800,197420.400,190892.500,31833.390,38032.740,36914.430,0.000
79982.390,82076.420,190395.800,195979.100,189464.800,31400.960,37285.010,36517.560,0.000
79059.010,81122.780,188970.100,194549.000,188041.700,30970.050,36510.030,36121.150,0.000
78190.650,80233.770,187555.200,193122.200,186629.600,30561.810,35820.770,35734.300,0.000
77378.620,79410.350,186148.400,191692.400,185225.500,30172.850,35219.310,35357.290,0.000
