timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1681374982.9359171,227379.84375,639028.1875,710657.1875,491757.1875,710593.8125,710984.875,710851.9375,256865.453125,0.0
1681374982.9415667,228614.453125,640659.5,710743.5,492329.46875,710680.4375,711071.3125,710938.5,257387.40625,0.0
1681374982.9634602,229040.65625,642149.9375,710801.125,492570.4375,710738.375,711128.75,710996.0,257858.671875,0.0
1681374982.963493,228485.4375,642099.125,710784.6875,492301.5625,710721.3125,711111.9375,710979.3125,257862.078125,0.0
1681374982.9683328,227104.28125,639690.625,710670.0,491540.625,710606.4375,710996.6875,710864.625,257071.265625,0.0
1681374982.9683633,227335.046875,638648.9375,710657.5,491613.9375,710594.0,710984.25,710852.1875,256821.375,0.0
1681374982.9703555,228568.234375,640277.9375,710744.5,492183.03125,710680.8125,711071.6875,710938.9375,257345.390625,0.0
1681374982.9753947,229013.921875,641792.625,710804.1875,492433.71875,710740.8125,711131.875,710999.1875,257830.609375,0.0
1681374982.9779289,228462.015625,641749.75,710789.25,492167.46875,710725.5,711116.6875,710984.375,257835.515625,0.0
1681374982.9802887,227081.3125,639355.4375,710672.5,491406.15625,710608.9375,710999.5625,710867.375,257043.015625,0.0
1681374982.9853408,227293.296875,638289.25,710658.3125,491471.4375,710594.4375,710985.4375,710853.25,256777.390625,0.0
1681374982.9877615,228524.515625,639900.375,710746.625,492040.96875,710683.25,711074.8125,710942.0,257293.453125,0.0
1681374982.9903166,228975.21875,641414.0,710804.625,492293.96875,710741.25,711132.6875,711000.0,257769.625,0.0
1681374982.9934196,228434.484375,641397.75,710789.0,492037.28125,710725.9375,711117.125,710984.5,257779.015625,0.0
1681374982.9934576,227045.90625,639012.5625,710677.6875,491283.40625,710614.5,711005.5625,710872.9375,256992.234375,0.0
1681374982.9990473,227239.109375,637923.9375,710660.1875,491339.46875,710596.9375,710987.9375,710855.25,256712.21875,0.0
1681374983.0059671,228471.046875,639530.3125,710748.5,491910.96875,710685.1875,711076.25,710943.375,257225.3125,0.0
1681374983.0059896,228923.265625,641045.375,710807.3125,492166.125,710743.875,711134.75,711002.6875,257705.25,0.0
1681374983.0078056,228386.46875,641032.0625,710790.9375,491908.375,710727.75,711118.4375,710986.3125,257719.296875,0.0
1681374983.0353727,227008.703125,638661.6875,710677.5,491147.875,710614.125,711004.625,710872.3125,256936.359375,0.0
1681374983.0525842,227199.953125,637557.25,710661.75,491203.5625,710598.5625,710988.8125,710856.4375,256660.09375,0.0
1681374983.052607,228436.625,639163.5625,710752.0,491778.375,710688.75,711079.5625,710947.125,257183.5625,0.0
1681374983.052612,228892.6875,640694.5625,710812.5,492033.25,710749.125,711140.125,711007.875,257667.25,0.0
1681374983.058081,228359.375,640698.9375,710795.875,491775.6875,710732.75,711123.5625,710991.0625,257683.703125,0.0
1681374983.0580945,226973.484375,638323.125,710682.6875,491014.28125,710619.3125,711010.25,710877.4375,256900.0625,0.0
1681374983.0580983,227155.515625,637194.4375,710666.0,491065.4375,710602.6875,710993.375,710860.6875,256617.078125,0.0
1681374983.0581024,228387.984375,638796.0,710755.4375,491642.1875,710692.4375,711082.875,710950.5625,257136.09375,0.0
1681374983.060866,228818.65625,640332.1875,710816.1875,491898.8125,710752.9375,711144.125,711011.0625,257622.015625,0.0
1681374983.0608826,228258.34375,640330.8125,710800.5,491641.75,710737.4375,711128.375,710995.25,257637.578125,0.0
1681374983.063373,226863.25,637956.1875,710684.3125,490882.96875,710621.1875,711011.8125,710879.375,256859.640625,0.0
1681374983.0633843,227029.625,636815.375,710667.75,490928.28125,710604.25,710994.75,710862.6875,256577.828125,0.0
1681374983.0652626,228260.9375,638401.4375,710756.6875,491499.59375,710693.0625,711083.875,710951.5625,257092.28125,0.0
1681374983.0702915,228723.0,639936.8125,710818.4375,491761.5625,710755.1875,711145.8125,711012.9375,257582.3125,0.0
1681374983.0733268,228204.4375,639954.0,710805.6875,491515.15625,710742.5,711133.5625,711000.4375,257610.484375,0.0
1681374983.0733376,226815.765625,637588.625,710689.8125,490749.28125,710626.25,711017.1875,710884.5,256827.546875,0.0
1681374983.077772,226963.5625,636417.5,710668.9375,490775.40625,710605.625,710996.125,710863.625,256525.625,1.0
1681374983.082775,228204.96875,637990.25,710754.75,491336.34375,710691.375,711082.1875,710949.375,257032.828125,0.0
1681374983.0934484,228683.84375,639533.6875,710815.375,491597.125,710752.1875,711143.0625,711010.375,257519.28125,0.0
1681374983.0934808,228168.046875,639556.5625,710799.875,491353.5,710736.3125,711127.0625,710994.25,257541.8125,0.0
1681374983.1209073,226785.640625,637204.75,710682.75,490594.78125,710619.1875,711009.625,710877.0,256762.640625,0.0
1681374983.1209366,226927.703125,636021.4375,710661.3125,490624.21875,710597.6875,710988.375,710855.3125,256459.09375,0.0
1681374983.1453166,228174.578125,637588.1875,710748.3125,491205.625,710685.0,711075.625,710942.9375,256966.65625,0.0
1681374983.156662,228657.734375,639130.9375,710808.5,491473.9375,710744.75,711135.5625,711002.875,257454.5625,0.0
1681374983.1628666,228156.421875,639165.3125,710797.0625,491234.875,710733.3125,711123.8125,710991.0625,257485.9375,0.0
1681374983.169073,226786.703125,636831.625,710683.6875,490475.875,710619.8125,711010.625,710877.875,256714.625,0.0
1681374983.171584,226914.5625,635636.625,710662.8125,490497.34375,710599.375,710990.0625,710857.375,256407.25,0.0
1681374983.1771872,228151.78125,637188.75,710748.3125,491073.125,710684.75,711075.625,710942.6875,256909.0,0.0
1681374983.1772,228644.3125,638741.375,710809.9375,491341.0625,710745.875,711136.9375,711004.0,257397.34375,0.0
1681374983.1790216,228150.53125,638798.6875,710798.625,491106.90625,710734.4375,711125.5,710993.0,257434.078125,0.0
1681374983.181559,226772.234375,636468.4375,710685.9375,490352.9375,710622.0,711012.875,710880.25,256665.1875,0.0
1681374983.184072,226883.0,635234.8125,710662.375,490380.65625,710599.375,710989.875,710857.375,256348.0625,0.0
1681374983.1890435,228127.1875,636786.75,710748.375,490960.375,710685.1875,711076.0,710943.75,256850.875,0.0
1681374983.1915665,228622.953125,638352.6875,710810.875,491229.40625,710747.625,711138.5,711005.6875,257347.09375,0.0
1681374983.1939971,228132.203125,638423.25,710799.5625,490995.34375,710736.25,711126.875,710994.1875,257390.71875,0.0
1681374983.199048,226745.40625,636102.3125,710686.625,490232.78125,710623.125,711013.5625,710880.875,256624.0625,0.0
1681374983.201504,226842.859375,634858.75,710662.8125,490237.53125,710599.625,710990.4375,710857.375,256304.515625,0.0
1681374983.2091396,228080.875,636393.875,710749.125,490805.09375,710685.625,711076.625,710943.6875,256803.3125,0.0
1681374983.2341068,228582.71875,637965.25,710812.9375,491073.84375,710749.5,711140.375,711007.125,257298.09375,0.0
1681374983.244122,228096.609375,638050.0625,710804.9375,490845.5,710741.4375,711132.125,710999.125,257345.84375,0.0
1681374983.2465904,226705.890625,635732.75,710690.625,490083.21875,710627.5,711018.25,710885.1875,256576.9375,0.0
1681374983.2490628,226784.65625,634461.0625,710664.0625,490079.90625,710601.0,710991.5,710858.4375,256238.890625,0.0
1681374983.2571888,228026.78125,635988.1875,710748.875,490656.3125,710685.3125,711076.4375,710942.9375,256733.21875,0.0
1681374983.2572112,228539.359375,637569.125,710813.6875,490937.9375,710749.5625,711140.8125,711007.75,257235.421875,0.0
1681374983.2615774,228066.390625,637667.375,710806.5,490718.1875,710742.5,711133.5625,711000.625,257290.3125,0.0
1681374983.2640665,226685.859375,635371.875,710693.625,489957.25,710630.0,711020.5625,710887.8125,256534.921875,0.0
1681374983.2670937,226763.28125,634099.625,710670.0625,489949.46875,710606.8125,710997.5,710864.625,256204.5625,0.0
1681374983.2671216,228002.640625,635622.3125,710754.3125,490522.8125,710691.25,711081.4375,710949.0625,256700.046875,0.0
1681374983.2721643,228512.09375,637196.875,710817.1875,490796.40625,710753.9375,711143.9375,711011.5,257191.96875,0.0
1681374983.272174,228046.359375,637301.8125,710809.0,490563.25,710745.375,711136.0625,711003.0625,257251.0625,0.0
1681374983.276556,226665.390625,635011.125,710694.25,489796.3125,710631.375,711021.4375,710888.875,256498.078125,0.0
1681374983.284123,226718.9375,633705.75,710667.75,489788.15625,710604.875,710995.0625,710862.375,256156.71875,0.0
1681374983.2928703,227952.3125,635211.5,710751.625,490363.0625,710688.6875,711079.125,710945.875,256645.953125,0.0
1681374983.2954104,228466.671875,636792.1875,710811.4375,490642.53125,710748.0625,711138.375,711005.8125,257138.59375,0.0
1681374983.2978673,228005.953125,636916.3125,710803.6875,490271.21875,710740.0625,711130.6875,710998.125,257197.15625,0.0
1681374983.3003645,226610.3125,634617.5625,710688.5625,489231.6875,710625.125,711015.5625,710883.3125,256431.828125,0.0
1681374983.3029864,226656.71875,633289.5625,710662.5625,489219.1875,710598.75,710989.375,710856.9375,256085.828125,0.0
1681374983.3053365,227908.40625,634799.75,710749.625,489876.78125,710685.625,711076.625,710944.0,256585.96875,0.0
1681374983.307807,228438.765625,636400.25,710814.0,490248.96875,710750.25,711141.1875,711008.6875,257092.90625,0.0
1681374983.3102772,227982.171875,636540.3125,710807.875,490132.125,710744.5,711134.9375,711002.25,257164.34375,0.0
1681374983.313337,226589.296875,634259.8125,710695.3125,489419.28125,710632.0625,711022.375,710889.5,256407.25,0.0
1681374983.3133516,226631.328125,632915.25,710668.8125,489429.71875,710605.625,710995.875,710863.375,256057.84375,0.0
1681374983.3234491,227875.15625,634401.8125,710753.125,490025.1875,710689.9375,711080.375,710947.625,256545.375,0.0
1681374983.3234744,228407.125,635995.9375,710815.8125,490319.875,710752.1875,711142.75,711009.75,257042.5625,0.0
1681374983.3253293,227956.59375,636132.125,710805.6875,490122.46875,710742.25,711132.6875,710999.875,257105.6875,0.0
1681374983.3295949,226577.953125,633864.1875,710695.9375,489374.5625,710633.0,711023.125,710890.5,256356.28125,0.0
1681374983.3296154,226608.171875,632509.3125,710670.5,489354.1875,710607.5625,710997.75,710865.0,256001.609375,0.0
1681374983.32962,227855.484375,633991.6875,710755.0,489929.25,710691.8125,711082.1875,710949.1875,256488.15625,0.0
1681374983.3296247,228389.875,635592.0625,710817.1875,490217.59375,710753.6875,711144.1875,711011.625,256985.890625,0.0
